src;dst;capacity_mbps;delay_ms;r_link
0;220;698;11;0,998
0;221;205;12;0,969
0;228;696;14;0,966
0;229;215;6;0,964
0;234;869;12;0,964
0;238;470;9;0,957
0;239;691;7;0,973
0;240;391;15;0,970
0;243;257;4;0,965
0;245;266;15;0,988
1;2;561;6;0,970
1;3;152;8;0,991
1;11;409;9;0,974
1;12;615;9;0,973
1;16;512;3;0,996
1;21;175;14;0,986
1;24;291;3;0,992
1;25;353;3;0,951
1;28;784;8;0,983
1;32;204;4;0,992
1;37;379;4;0,974
1;40;420;11;0,992
1;42;216;10;0,971
1;47;197;9;0,966
1;53;422;13;0,970
1;54;467;3;0,950
1;58;885;5;0,952
1;60;396;7;0,967
1;64;832;14;0,955
1;65;251;12;0,959
1;68;357;11;0,955
1;70;588;12;0,988
1;74;899;7;0,973
1;79;420;13;0,989
1;90;875;10;0,975
1;93;649;9;0,970
1;99;933;4;0,984
1;100;418;6;0,965
1;104;849;11;0,983
1;105;776;15;0,982
1;111;605;10;0,999
1;117;536;14;0,972
1;119;409;8;0,969
1;120;997;12;0,957
1;121;983;7;0,952
1;125;765;10;0,974
1;126;963;11;0,974
1;129;952;8;0,957
1;131;910;13;0,960
1;133;804;8;0,959
1;134;712;4;0,970
1;135;248;15;0,987
1;139;240;3;0,993
1;141;454;11;0,981
1;145;862;13;0,992
1;147;706;8;0,982
1;148;597;7;0,952
1;150;841;3;0,971
1;154;339;9;0,957
1;157;289;13;0,978
1;161;924;8;0,974
1;165;623;14;0,966
1;168;763;7;0,992
1;178;270;4;0,962
1;182;766;6;0,992
1;183;855;5;0,990
1;185;766;15;0,997
1;186;567;15;0,977
1;192;633;15;0,973
1;197;340;7;0,976
1;198;536;7;0,990
1;200;790;5;0,964
1;207;355;7;0,994
1;209;158;11;0,951
1;217;975;13;0,990
1;218;590;13;0,989
1;219;664;12;0,957
1;223;679;4;0,974
1;224;726;10;0,985
1;227;901;15;0,958
1;229;526;4;0,976
1;231;887;12;0,979
1;233;111;11;0,968
1;235;467;6;0,988
1;242;363;3;0,996
1;244;384;5;0,977
1;248;479;9;0,960
1;249;300;6;0,966
2;6;824;14;0,974
2;10;168;10;0,963
2;11;523;12;0,958
2;12;212;12;0,998
2;13;201;3;0,967
2;19;416;10;0,997
2;21;981;5;0,978
2;22;511;5;0,992
2;24;110;9;0,967
2;26;131;8;0,966
2;27;608;7;0,956
2;29;244;7;0,992
2;30;986;12;0,966
2;32;905;7;0,976
2;34;140;10;0,968
2;35;945;4;0,989
2;36;945;5;0,951
2;37;182;5;0,969
2;39;994;10;0,977
2;40;842;12;0,987
2;42;981;15;0,980
2;43;798;7;0,993
2;44;242;9;0,984
2;45;265;9;0,994
2;52;695;10;0,965
2;55;609;7;0,954
2;61;189;12;0,967
2;67;310;4;0,957
2;68;116;12;0,999
2;70;265;9;0,990
2;71;542;12;0,985
2;74;695;4;0,987
2;79;126;5;0,979
2;85;645;6;0,968
2;87;349;8;0,979
2;88;481;6;0,994
2;91;145;15;0,958
2;94;411;6;0,964
2;95;657;8;0,970
2;97;630;5;0,972
2;99;534;4;0,953
2;100;556;9;0,987
2;106;288;12;0,999
2;107;721;13;0,991
2;108;974;9;0,995
2;115;121;4;0,976
2;117;780;6;0,952
2;119;309;5;0,995
2;120;144;7;0,954
2;122;146;8;0,991
2;131;504;14;0,970
2;134;399;10;0,974
2;135;444;11;0,961
2;137;566;8;0,955
2;138;838;12;0,959
2;139;250;14;0,987
2;143;337;9;0,951
2;145;873;5;0,969
2;147;233;6;0,980
2;149;913;11;0,973
2;150;919;5;0,962
2;154;672;15;0,997
2;155;832;4;0,973
2;156;564;11;0,958
2;159;548;12;0,990
2;163;322;15;0,964
2;165;178;14;0,986
2;167;649;8;0,991
2;171;328;10;0,977
2;172;919;4;0,983
2;174;587;12;0,950
2;175;219;13;0,974
2;176;857;9;0,957
2;177;927;12;0,952
2;178;909;14;0,986
2;179;387;10;0,955
2;180;802;3;0,976
2;182;692;14;0,998
2;183;845;7;0,966
2;188;748;7;0,986
2;190;596;11;0,957
2;191;734;6;0,988
2;198;885;8;0,994
2;199;344;3;0,989
2;200;133;11;0,976
2;205;413;9;0,983
2;207;697;10;0,970
2;210;677;13;0,972
2;211;520;14;0,991
2;212;530;12;0,982
2;213;155;12;0,994
2;214;176;5;0,997
2;216;672;10;0,987
2;219;803;14;0,964
2;223;764;12;0,968
2;224;324;8;0,987
2;225;877;14;0,957
2;229;628;6;0,991
2;241;566;12;0,962
2;242;995;11;0,981
2;244;701;15;0,953
2;245;832;12;0,951
2;246;918;10;0,951
2;248;858;11;0,982
3;4;795;8;0,973
3;6;122;12;0,979
3;18;606;7;0,951
3;20;227;12;0,976
3;21;208;8;0,952
3;22;603;9;0,957
3;24;386;4;0,958
3;27;810;10;0,958
3;28;518;7;0,974
3;32;363;15;0,958
3;33;543;14;0,975
3;34;943;11;0,993
3;36;812;8;0,963
3;40;581;12;0,958
3;41;220;7;0,983
3;43;114;10;0,980
3;48;574;7;0,993
3;50;775;7;0,969
3;51;129;13;0,996
3;54;960;4;0,996
3;57;642;8;0,954
3;58;594;14;0,972
3;68;930;10;0,978
3;69;318;12;0,971
3;70;917;11;0,989
3;71;203;9;0,986
3;74;709;6;0,957
3;75;704;7;0,967
3;76;961;4;0,964
3;78;122;14;0,995
3;82;207;4;0,998
3;83;160;4;0,965
3;85;395;4;0,951
3;86;933;7;0,997
3;87;488;12;0,961
3;91;906;11;0,987
3;95;708;5;0,999
3;97;158;13;0,985
3;101;877;7;0,961
3;105;963;11;0,968
3;109;925;7;0,982
3;110;932;13;0,980
3;115;438;7;0,984
3;116;193;11;0,998
3;120;310;6;0,965
3;123;364;11;0,952
3;125;706;11;0,978
3;127;755;15;0,996
3;130;600;6;0,970
3;132;765;13;0,985
3;133;133;11;0,976
3;134;177;11;0,970
3;136;267;3;0,994
3;138;548;8;0,961
3;139;866;6;0,997
3;144;673;10;0,954
3;145;893;8;0,982
3;148;519;12;0,992
3;151;784;8;0,971
3;152;725;11;0,981
3;153;523;11;0,957
3;158;381;5;0,991
3;159;314;8;0,952
3;160;998;15;0,970
3;161;511;12;0,996
3;165;739;6;0,980
3;168;376;14;0,992
3;170;972;12;0,950
3;171;287;7;0,974
3;174;455;5;0,961
3;177;945;8;0,963
3;179;311;11;0,955
3;184;743;5;0,967
3;188;620;7;0,979
3;189;925;13;0,984
3;191;609;13;0,959
3;196;699;6;0,994
3;197;940;15;0,973
3;200;365;13;0,957
3;206;234;14;0,980
3;209;818;5;0,965
3;210;359;11;0,983
3;211;679;9;0,969
3;212;351;6;0,967
3;217;926;13;0,966
3;219;495;15;0,997
3;220;238;15;0,996
3;223;228;10;0,953
3;224;472;10;0,991
3;225;608;7;0,961
3;229;935;13;0,971
3;237;767;8;0,954
3;241;488;4;0,992
3;242;224;10;0,962
3;244;124;11;0,975
3;248;359;9;0,986
3;249;302;5;0,985
4;6;873;15;0,955
4;8;729;12;0,956
4;11;244;11;0,964
4;13;579;11;0,986
4;17;506;10;0,977
4;20;913;15;0,985
4;21;306;14;0,997
4;23;158;13;0,950
4;24;764;13;0,986
4;29;809;9;0,965
4;33;790;5;0,970
4;35;643;12;0,971
4;36;258;5;0,978
4;39;259;9;0,962
4;41;192;9;0,956
4;42;370;9;0,963
4;45;444;9;0,979
4;48;815;12;0,969
4;53;738;12;0,977
4;56;619;4;0,954
4;57;842;10;0,955
4;58;826;4;0,973
4;67;983;8;0,963
4;68;846;11;0,999
4;69;970;11;0,983
4;71;124;7;0,976
4;73;313;13;0,995
4;77;232;8;0,966
4;78;518;7;0,958
4;84;131;10;0,975
4;89;141;10;0,991
4;93;444;7;0,987
4;97;267;4;0,972
4;98;181;15;0,956
4;99;458;4;0,998
4;100;990;11;0,963
4;101;717;13;0,990
4;103;765;13;0,973
4;107;701;12;0,966
4;110;638;5;0,961
4;111;552;9;0,966
4;114;602;6;0,997
4;116;311;3;0,962
4;123;371;5;0,954
4;124;939;5;0,963
4;133;298;5;0,982
4;138;551;14;0,987
4;139;528;7;0,990
4;140;181;9;0,962
4;143;142;3;0,975
4;145;601;12;0,988
4;150;363;4;0,980
4;151;357;12;0,986
4;153;494;9;0,976
4;155;906;13;0,950
4;156;951;12;0,954
4;157;169;4;0,983
4;158;354;12;0,989
4;159;285;12;0,985
4;161;299;8;0,996
4;163;131;6;0,965
4;164;470;4;0,975
4;166;961;3;0,989
4;171;949;4;0,982
4;172;233;6;0,956
4;176;381;12;0,963
4;177;629;14;0,986
4;178;885;5;0,968
4;189;785;10;0,953
4;192;754;13;0,987
4;194;638;6;0,970
4;197;118;14;0,990
4;200;254;6;0,955
4;202;743;14;0,985
4;204;871;4;0,990
4;207;870;9;0,953
4;210;351;7;0,954
4;211;431;7;0,989
4;212;234;11;0,984
4;217;435;9;0,978
4;219;738;13;0,993
4;222;459;13;0,984
4;223;908;14;0,951
4;227;301;8;0,995
4;229;638;7;0,971
4;236;984;11;0,953
4;244;168;15;0,982
4;248;914;8;0,966
5;6;326;4;0,970
5;8;625;13;0,986
5;9;765;6;0,978
5;10;596;14;0,987
5;11;446;13;0,978
5;18;446;13;0,973
5;19;443;6;0,973
5;20;548;14;0,978
5;21;522;10;0,968
5;24;231;11;0,993
5;25;447;5;0,965
5;27;394;12;0,951
5;28;415;10;0,979
5;34;766;5;0,985
5;35;431;11;0,986
5;37;805;12;0,978
5;39;208;7;0,960
5;40;778;14;0,983
5;41;990;5;0,995
5;43;393;14;0,956
5;44;832;4;0,961
5;47;362;8;0,959
5;48;795;5;0,998
5;50;529;14;0,978
5;55;985;14;0,972
5;56;468;3;0,973
5;58;735;9;0,968
5;60;155;6;0,985
5;62;547;9;0,962
5;66;539;8;0,968
5;69;558;9;0,997
5;73;560;4;0,992
5;76;321;11;0,958
5;78;263;14;0,980
5;85;963;13;0,972
5;87;464;11;0,995
5;90;250;12;0,993
5;96;352;14;0,955
5;98;114;7;0,969
5;101;140;14;0,993
5;107;498;9;0,969
5;109;958;13;0,977
5;111;693;13;0,960
5;118;813;3;0,982
5;119;151;12;0,998
5;120;325;4;0,954
5;122;262;15;0,974
5;123;450;10;0,955
5;128;472;8;0,953
5;133;289;3;0,982
5;135;355;11;0,954
5;136;449;11;0,983
5;137;689;13;0,965
5;138;476;5;0,986
5;139;285;10;0,980
5;140;120;6;0,992
5;143;841;3;0,962
5;145;441;7;0,971
5;148;317;8;0,988
5;149;814;8;0,975
5;150;375;7;0,954
5;155;351;7;0,976
5;156;769;15;0,956
5;158;430;3;0,981
5;160;373;9;0,960
5;161;979;8;0,979
5;162;551;4;0,957
5;170;610;13;0,994
5;171;125;14;0,957
5;174;201;6;0,962
5;177;353;3;0,959
5;179;152;6;0,971
5;183;181;7;0,990
5;184;416;8;0,982
5;186;496;10;0,971
5;187;845;11;0,958
5;189;490;8;0,992
5;195;569;8;0,994
5;199;466;6;0,956
5;203;919;13;0,978
5;204;432;6;0,989
5;205;613;15;0,954
5;208;252;8;0,993
5;210;611;4;0,966
5;218;600;5;0,999
5;221;742;10;0,969
5;226;851;6;0,996
5;227;277;4;0,958
5;231;802;15;0,998
5;232;264;13;0,992
5;233;690;7;0,959
5;234;636;11;0,963
5;239;263;5;0,982
5;240;124;4;0,984
5;241;225;13;0,971
5;244;777;11;0,964
5;249;379;6;0,965
6;7;899;7;0,962
6;8;914;11;0,978
6;9;947;3;0,989
6;12;575;12;0,977
6;15;107;4;0,986
6;16;703;7;0,958
6;18;201;7;0,997
6;20;417;11;0,968
6;23;603;3;0,982
6;26;560;9;0,991
6;27;481;9;0,973
6;28;494;7;0,997
6;30;503;14;0,991
6;31;108;15;0,979
6;32;450;8;0,954
6;43;546;12;0,969
6;45;289;6;0,972
6;46;394;7;0,968
6;50;606;10;0,952
6;57;613;9;0,954
6;58;469;10;0,951
6;59;270;13;0,990
6;63;816;7;0,992
6;65;524;15;0,970
6;66;946;9;0,990
6;70;337;12;0,985
6;76;802;15;0,966
6;78;919;9;0,995
6;81;981;5;0,965
6;84;138;8;0,967
6;86;189;8;0,998
6;90;191;7;0,981
6;92;680;5;0,979
6;93;940;14;0,950
6;96;214;6;0,957
6;101;784;13;0,991
6;104;613;4;0,985
6;105;610;11;0,993
6;106;396;11;0,978
6;110;206;12;0,998
6;111;521;5;0,972
6;112;454;7;0,956
6;117;316;14;0,968
6;122;685;12;0,965
6;124;613;11;0,991
6;130;772;6;0,993
6;131;506;12;0,983
6;138;542;10;0,957
6;140;308;9;0,960
6;142;924;7;0,977
6;148;862;6;0,972
6;150;169;12;0,967
6;152;244;13;0,969
6;154;147;10;0,961
6;159;867;11;0,981
6;160;941;5;0,986
6;161;370;5;0,984
6;162;413;5;0,957
6;165;272;9;0,976
6;166;800;14;0,983
6;167;541;11;0,958
6;171;219;12;0,979
6;177;295;12;0,984
6;178;958;12;0,995
6;180;192;12;0,981
6;181;770;7;0,974
6;182;606;8;0,959
6;188;159;7;0,994
6;190;420;11;0,989
6;191;984;12;0,953
6;195;652;5;0,952
6;196;203;7;0,967
6;200;981;6;0,958
6;202;685;3;0,980
6;207;460;13;0,989
6;208;946;6;0,965
6;209;377;4;0,983
6;210;136;5;0,997
6;212;517;6;0,998
6;214;716;13;0,979
6;216;137;14;0,961
6;221;849;4;0,975
6;224;346;7;0,962
6;227;383;4;0,981
6;229;606;4;0,989
6;230;709;13;0,963
6;233;167;6;0,955
6;238;162;8;0,996
6;242;404;7;0,967
6;243;150;12;0,989
6;247;878;10;0,994
6;248;855;5;0,992
6;249;627;14;0,975
7;8;678;9;0,994
7;9;243;5;0,959
7;10;906;8;0,991
7;11;734;14;0,971
7;12;785;5;0,973
7;16;436;7;0,989
7;17;232;5;0,954
7;18;744;7;0,974
7;20;463;7;0,960
7;21;166;3;0,997
7;22;587;15;0,960
7;23;417;9;0,966
7;24;579;10;0,952
7;29;498;9;0,964
7;30;799;10;0,965
7;31;890;4;0,953
7;32;721;14;0,961
7;34;152;12;0,959
7;38;454;4;0,965
7;39;312;11;0,973
7;40;327;6;0,982
7;43;547;3;0,957
7;44;858;9;0,970
7;45;438;7;0,968
7;47;931;6;0,999
7;50;821;6;0,991
7;51;951;6;0,986
7;55;985;5;0,996
7;56;214;8;0,995
7;58;552;12;0,986
7;59;813;6;0,955
7;62;783;14;0,962
7;66;921;13;0,970
7;67;191;10;0,971
7;69;281;12;0,985
7;70;500;11;0,983
7;80;433;9;0,968
7;87;834;5;0,966
7;91;503;13;0,971
7;100;373;4;0,955
7;104;264;4;0,952
7;107;913;13;0,995
7;109;250;13;0,966
7;112;824;9;0,978
7;116;744;4;0,989
7;117;552;13;0,975
7;123;426;14;0,993
7;127;967;9;0,965
7;128;556;15;0,971
7;129;593;3;0,953
7;132;323;15;0,954
7;134;323;9;0,962
7;135;144;5;0,955
7;137;316;15;0,953
7;142;626;8;0,981
7;143;587;15;0,959
7;145;390;13;0,979
7;149;223;12;0,988
7;151;416;8;0,950
7;152;347;7;0,984
7;153;753;5;0,989
7;156;393;7;0,954
7;158;907;6;0,951
7;161;976;3;0,960
7;163;942;10;0,977
7;165;866;8;0,969
7;167;223;15;0,965
7;170;421;7;0,967
7;171;937;14;0,955
7;173;906;5;0,981
7;174;505;10;0,975
7;176;820;4;0,972
7;183;693;13;0,961
7;188;112;15;0,990
7;190;887;9;0,992
7;191;324;3;0,989
7;192;286;8;0,957
7;193;378;12;0,963
7;194;190;10;0,956
7;198;230;10;0,990
7;199;446;13;0,967
7;200;749;6;0,968
7;207;564;15;0,954
7;208;506;4;0,975
7;210;391;8;0,965
7;211;319;9;0,984
7;212;583;11;0,998
7;213;909;3;0,955
7;222;672;5;0,990
7;223;897;4;0,998
7;225;252;11;0,973
7;226;294;6;0,988
7;228;753;12;0,969
7;233;789;9;0,957
7;234;681;15;0,957
7;237;366;13;0,960
7;239;793;5;0,970
7;243;436;9;0,980
7;246;658;11;0,982
7;249;775;8;0,992
8;13;610;5;0,988
8;16;124;12;0,982
8;19;617;7;0,965
8;20;541;11;0,983
8;21;416;4;0,982
8;22;800;14;0,974
8;23;678;5;0,975
8;24;518;9;0,985
8;25;861;7;0,990
8;27;642;3;0,996
8;29;442;8;0,968
8;30;684;12;0,982
8;34;489;6;0,952
8;40;315;7;0,961
8;42;435;5;0,956
8;49;599;6;0,988
8;54;835;7;0,975
8;56;653;9;0,950
8;58;269;9;0,987
8;60;798;6;0,993
8;61;899;7;0,988
8;67;753;5;0,951
8;68;540;4;0,982
8;70;461;14;0,982
8;72;713;9;0,978
8;73;659;9;0,997
8;75;625;3;0,985
8;79;662;13;0,991
8;81;632;3;0,988
8;82;730;7;0,963
8;85;356;11;0,952
8;88;119;13;0,957
8;90;915;10;0,986
8;92;737;6;0,991
8;94;537;10;0,963
8;96;919;13;0,975
8;98;379;3;0,960
8;99;653;5;0,991
8;101;989;4;0,993
8;102;128;11;0,954
8;103;295;4;0,989
8;105;169;13;0,978
8;108;908;14;0,964
8;110;605;10;0,979
8;111;746;6;0,989
8;113;102;4;0,990
8;118;261;11;0,955
8;119;178;12;0,995
8;120;882;13;0,955
8;122;742;14;0,964
8;123;472;8;0,951
8;125;299;8;0,993
8;128;752;15;0,986
8;130;168;5;0,964
8;132;666;9;0,963
8;137;146;9;0,958
8;141;709;6;0,968
8;142;135;6;0,994
8;145;456;12;0,995
8;147;350;8;0,980
8;148;597;13;0,979
8;149;689;5;0,979
8;150;815;4;0,953
8;158;695;8;0,978
8;162;181;7;0,998
8;163;450;9;0,959
8;167;940;4;0,954
8;174;970;4;0,991
8;177;323;11;0,967
8;182;896;8;0,960
8;183;174;9;0,973
8;184;411;7;0,989
8;185;576;13;0,986
8;186;832;10;0,958
8;193;236;5;0,984
8;196;290;12;0,997
8;197;154;7;0,966
8;199;850;13;0,956
8;202;990;11;0,986
8;206;389;12;0,977
8;210;216;13;0,970
8;211;215;11;0,953
8;215;125;13;0,990
8;218;827;13;0,957
8;221;177;11;0,980
8;226;853;14;0,980
8;227;561;10;0,953
8;229;771;13;0,986
8;232;190;6;0,998
8;234;578;12;0,978
8;235;269;6;0,967
8;238;320;4;0,951
8;240;795;4;0,969
8;243;185;5;0,998
8;244;215;3;0,950
8;245;579;5;0,976
8;248;521;6;0,995
9;10;107;9;0,983
9;12;293;15;0,978
9;14;872;10;0,984
9;15;898;11;0,983
9;22;729;11;0,971
9;25;802;12;0,954
9;26;313;4;0,966
9;27;789;11;0,989
9;30;179;10;0,997
9;34;176;14;0,957
9;36;558;11;0,966
9;38;640;13;0,951
9;40;660;10;0,966
9;41;557;14;0,980
9;43;616;8;0,957
9;49;603;4;0,969
9;52;770;10;0,976
9;53;766;8;0,954
9;55;401;7;0,993
9;56;622;7;0,984
9;60;107;12;0,955
9;64;552;10;0,984
9;66;553;7;0,980
9;68;661;9;0,978
9;71;967;9;0,968
9;76;233;6;0,981
9;78;869;15;0,971
9;79;361;3;0,985
9;80;970;6;0,993
9;82;732;4;0,960
9;86;283;14;0,971
9;87;165;6;0,968
9;88;830;9;0,985
9;92;586;11;0,989
9;93;571;15;0,963
9;94;653;4;0,995
9;95;550;7;0,973
9;98;669;4;0,965
9;99;773;14;0,960
9;104;904;5;0,970
9;105;558;10;0,971
9;106;415;9;0,990
9;107;182;10;0,956
9;108;773;8;0,969
9;112;227;7;0,963
9;114;964;12;0,970
9;115;815;15;0,984
9;116;511;8;0,993
9;117;172;10;0,963
9;120;374;9;0,996
9;122;198;11;0,991
9;126;909;6;0,971
9;129;439;12;0,962
9;130;990;14;0,985
9;133;141;15;0,972
9;135;310;15;0,976
9;139;458;4;0,951
9;141;616;10;0,997
9;142;772;7;0,955
9;145;846;10;0,958
9;148;461;4;0,961
9;149;286;8;0,960
9;151;668;12;0,995
9;154;825;14;0,984
9;155;569;14;0,964
9;157;997;13;0,991
9;158;842;14;0,968
9;159;800;11;0,965
9;160;361;5;0,997
9;162;348;7;0,999
9;164;533;13;0,984
9;165;641;9;0,962
9;168;646;4;0,993
9;169;565;4;0,996
9;170;426;9;0,954
9;171;793;11;0,970
9;179;717;7;0,995
9;184;526;7;0,985
9;185;907;9;0,996
9;186;441;7;0,956
9;187;950;10;0,962
9;190;103;4;0,998
9;196;157;13;0,993
9;198;299;13;0,986
9;201;219;8;0,992
9;203;194;7;0,954
9;206;361;11;0,965
9;209;281;4;0,985
9;214;510;11;0,985
9;219;669;11;0,996
9;223;299;7;0,969
9;225;382;8;0,986
9;226;833;7;0,968
9;227;768;10;0,989
9;229;992;7;0,969
9;231;179;5;0,963
9;232;689;4;0,963
9;236;440;8;0,968
9;237;883;6;0,968
9;244;644;8;0,958
9;246;740;5;0,966
9;247;617;7;0,992
9;248;265;3;0,990
9;249;517;4;0,990
10;11;725;15;0,994
10;16;496;5;0,952
10;21;999;4;0,962
10;23;359;14;0,950
10;24;319;13;0,998
10;26;640;4;0,952
10;30;760;12;0,984
10;33;345;14;0,998
10;37;423;9;0,968
10;40;766;9;0,984
10;42;977;8;0,999
10;44;281;8;0,970
10;46;149;13;0,986
10;51;671;11;0,967
10;52;301;10;0,984
10;53;615;12;0,961
10;54;407;5;0,964
10;55;589;13;0,976
10;56;493;11;0,977
10;57;862;10;0,987
10;62;172;11;0,975
10;64;113;7;0,952
10;69;704;8;0,982
10;70;486;8;0,951
10;72;523;6;0,995
10;73;416;12;0,960
10;75;250;6;0,995
10;76;631;7;0,974
10;77;816;10;0,967
10;81;109;14;0,980
10;85;372;4;0,953
10;87;109;6;0,979
10;89;426;7;0,972
10;90;295;6;0,986
10;91;360;14;0,990
10;92;592;10;0,962
10;96;735;4;0,986
10;97;980;10;0,976
10;98;236;8;0,951
10;99;667;13;0,957
10;102;865;3;0,975
10;103;244;11;0,992
10;105;733;9;0,967
10;108;719;7;0,976
10;109;563;5;0,997
10;110;133;14;0,980
10;111;392;3;0,979
10;112;239;5;0,983
10;114;587;3;0,985
10;115;352;11;0,986
10;118;533;13;0,985
10;120;692;3;0,953
10;122;963;6;0,974
10;124;987;7;0,957
10;126;431;14;0,987
10;127;318;6;0,998
10;128;819;5;0,996
10;131;707;11;0,989
10;132;610;12;0,987
10;145;940;8;0,988
10;153;951;4;0,971
10;155;116;5;0,971
10;159;202;9;0,967
10;166;719;5;0,961
10;169;205;14;0,953
10;170;936;4;0,975
10;171;342;8;0,989
10;172;859;10;0,979
10;173;464;8;0,966
10;181;733;10;0,990
10;187;833;8;0,974
10;188;316;15;0,991
10;190;502;11;0,972
10;192;965;12;0,981
10;195;158;4;0,983
10;196;498;8;0,991
10;197;418;12;0,965
10;200;206;11;0,979
10;202;233;6;0,986
10;203;400;14;0,953
10;207;905;7;0,963
10;209;515;6;0,957
10;210;920;4;0,998
10;213;891;3;0,995
10;215;704;4;0,994
10;219;840;6;0,961
10;222;471;9;0,988
10;223;328;15;0,987
10;230;673;6;0,972
10;231;461;7;0,994
10;233;438;10;0,954
10;236;438;9;0,983
10;237;949;14;0,966
10;240;706;11;0,960
10;244;775;13;0,951
10;248;273;14;0,951
10;249;703;12;0,956
11;12;736;4;0,974
11;14;967;5;0,959
11;17;265;11;0,999
11;18;608;10;0,970
11;22;677;10;0,997
11;23;939;9;0,984
11;24;375;5;0,963
11;30;673;7;0,976
11;32;684;6;0,992
11;35;389;7;0,992
11;39;427;7;0,986
11;40;957;12;0,981
11;42;824;14;0,961
11;46;722;6;0,967
11;47;353;11;0,985
11;48;527;14;0,990
11;52;544;6;0,974
11;53;160;6;0,951
11;57;507;4;0,995
11;60;517;12;0,981
11;61;610;10;0,982
11;62;247;10;0,999
11;66;457;12;0,977
11;69;293;6;0,986
11;70;142;7;0,977
11;81;727;5;0,977
11;83;924;6;0,951
11;84;307;4;0,988
11;87;793;3;0,959
11;89;482;10;0,964
11;98;765;14;0,962
11;99;923;8;0,955
11;100;285;10;0,970
11;101;303;4;0,986
11;104;666;6;0,972
11;106;800;11;0,952
11;107;346;9;0,997
11;108;840;14;0,964
11;110;568;11;0,983
11;112;973;8;0,970
11;113;567;10;0,959
11;114;405;4;0,964
11;120;313;12;0,958
11;124;213;14;0,993
11;125;812;7;0,987
11;126;856;14;0,986
11;128;151;7;0,961
11;129;687;14;0,960
11;134;942;3;0,956
11;139;869;6;0,981
11;141;293;7;0,959
11;142;310;14;0,952
11;144;171;11;0,983
11;148;422;5;0,976
11;153;575;14;0,960
11;154;117;3;0,981
11;155;532;13;0,977
11;156;834;14;0,984
11;157;226;10;0,991
11;158;934;3;0,961
11;160;209;9;0,974
11;163;530;15;0,959
11;165;350;9;0,959
11;166;239;8;0,968
11;167;692;14;0,991
11;169;697;3;0,996
11;171;435;9;0,954
11;172;453;11;0,959
11;175;334;15;0,982
11;178;469;11;0,984
11;180;573;13;0,992
11;181;659;13;0,965
11;185;884;9;0,993
11;187;705;14;0,959
11;190;703;8;0,961
11;191;717;14;0,965
11;193;794;14;0,959
11;195;168;12;0,952
11;197;382;7;0,957
11;201;772;12;0,968
11;204;542;13;0,959
11;207;343;9;0,980
11;210;364;4;0,983
11;213;410;5;0,983
11;215;999;11;0,998
11;217;607;12;0,992
11;219;605;13;0,967
11;220;614;7;0,974
11;221;713;6;0,998
11;222;227;7;0,960
11;223;562;4;0,986
11;224;730;6;0,974
11;226;601;14;0,997
11;228;451;11;0,967
11;229;615;8;0,966
11;231;807;10;0,990
11;233;595;12;0,997
11;234;750;7;0,982
11;239;971;14;0,975
11;240;208;3;0,994
11;243;405;10;0,989
11;244;732;3;0,955
11;245;189;5;0,978
11;247;592;12;0,982
11;249;453;9;0,979
12;13;614;12;0,996
12;14;306;10;0,995
12;15;872;4;0,999
12;17;614;10;0,990
12;19;463;8;0,995
